Docket Number,Result
19-896,1
19-1392,1
19-1401,2
20-219,0
20-303,1
20-322,1
20-443,1
20-480,0
20-493,2
20-601,1
20-603,1
20-637,1
20-659,1
20-804,1
20-807,0
20-826,1
20-827,1
20-828,1
20-843,1
20-915,2
20-979,0
20-1009,1
20-1029,1
20-1034,2
20-1088,1
20-1114,1
20-1143,1
20-1263,0
20-1312,1
21-5261,2
20-1459,0
20-1472,1
20-1780,1
20-1566,2
20-1573,1
20-1641,1
20-1650,1
20-1800,1
20-5279,1
20-7622,0
21-12,0
21-147,1
21-234,0
21-248,1
21-309,0
21-328,2
21-518,1
21-404,1
21-418,1
21-429,1
21-439,1
21-441,1
21-463,2
21-499,1
21-511,1
21-954,1
21-5592,1
21-5726,0
20-1199,1
21-86,1
21-380,2
21-432,0
21-442,1
21-454,1
21-468,0
21-476,1
21-707,1
21-757,0
21-806,0
21-846,2
21-857,0
21-869,0
21-887,1
21-908,0
21-984,0
21-1043,2
21-1052,0
21-1087,0
21-1158,1
21-1168,2
21-1170,1
21-1195,1
21-1239,0
21-1270,2
21-1271,0
22-111,2
21-1333,2
21-1436,2
21-1449,1
21-1450,2
21-1454,0
22-51,1
21-1496,1
21-1576,0
21-1599,0
22-10,2
22-331,2
22-49,2
22-58,1
22-96,1
22-105,1
22-138,2
22-148,2
22-166,1
22-174,2
22-179,1
22-196,0
22-200,2
22-210,2
22-227,0
22-383,0
22-535,2
18-540,1
18-956,1
18-1259,0
18-1447,2
19-71,0
19-184,1
19-123,1
19-199,1
19-255,1
19-292,2
19-309,2
19-351,2
19-357,2
19-369,0
19-453,1
19-438,0
19-508,2
19-511,2
19-546,1
19-547,1
19-783,1
19-1019,1
19-863,1
19-897,1
19-930,1
19-968,1
19-968,1
19-1039,1
19-1156,2
19-1189,2
19-1241,1
19-1258,1
19-1414,2
19-1458,2
20-105,1
19-5410,1
19-5807,0
19-8709,0
20-18,2
20-107,1
20-157,2
20-222,2
20-255,0
20-297,1
20-315,0
20-334,0
20-366,2
20-382,1
20-437,2
20-440,2
20-444,1
20-472,1
20-520,0
20-544,1
20-5904,0
17-834,1
17-1268,2
17-1498,0
17-1623,2
17-1678,0
17-1712,0
18-107,0
18-260,2
18-280,2
18-328,0
18-556,1
18-565,0
18-589,2
18-1015,2
18-801,0
18-877,0
18-882,1
18-916,2
18-935,0
18-938,0
18-1038,1
18-1048,1
18-1059,1
18-1086,1
18-1109,0
18-1116,0
18-1150,0
18-1165,2
18-1171,2
18-1195,1
18-1233,2
18-1460,1
18-1521,1
18-1432,1
18-1501,2
18-1587,1
18-5924,1
18-6135,0
18-6662,0
18-6943,1
18-7739,2
18-8369,0
18-9526,1
19-46,0
19-67,2
19-161,1
19-177,1
19-348,1
19-454,1
19-465,0
19-518,1
19-631,0
19-635,0
19-760,2
16-1094,1
16-1275,0
16-1363,1
16-1498,0
17-71,2
17-204,0
17-290,2
17-340,0
17-419,1
17-532,2
17-571,0
17-587,0
17-646,0
17-647,2
17-766,1
17-773,1
17-778,0
17-949,1
17-988,1
17-1011,1
17-1026,1
17-1042,1
17-1077,0
17-1091,2
17-1094,1
17-1104,0
17-1174,1
17-1184,0
17-1201,1
17-1229,0
17-1272,2
17-1299,1
17-1307,0
17-1471,0
17-1484,0
17-1594,1
17-1606,1
17-1625,1
17-1657,1
17-1672,2
17-1702,1
17-1705,2
17-1717,1
17-5554,0
17-6086,0
17-7505,2
17-8151,0
17-8995,0
17-9560,1
17-9572,1
18-15,2
18-96,0
18-266,1
18-281,2
18-302,0
18-315,0
18-389,2
18-422,2
18-431,0
18-457,0
18-459,2
18-481,1
18-485,1
18-489,2
18-525,0
18-966,2
18-6210,2
15-1204,1
15-1439,0
15-1485,1
15-1498,0
15-1509,0
16-111,1
16-307,2
16-299,1
16-402,1
16-424,1
16-460,1
16-477,1
16-498,0
16-499,0
16-534,0
16-658,2
16-712,0
16-784,0
16-1423,0
16-969,1
16-980,1
16-1011,1
16-1027,1
16-1067,0
16-1140,1
16-1144,1
16-1150,1
16-1161,2
16-1215,0
16-1220,2
16-1276,1
16-1348,0
16-1362,1
16-1371,2
16-1432,1
16-1435,1
16-1454,0
16-1466,1
16-1519,1
16-6795,2
16-6855,1
16-8255,1
16-9493,1
17-21,2
17-43,0
17-130,2
17-155,1
17-269,0
17-312,2
17-333,0
17-387,2
17-432,1
17-459,1
17-494,2
17-530,1
17-626,2
17-965,1
17-5639,0
17-5716,0
14-1055,1
14-1538,1
14-9496,1
15-118,2
15-214,0
15-423,2
15-457,1
15-497,2
15-513,0
15-537,0
15-577,1
15-606,1
15-628,0
15-649,1
15-680,2
15-777,1
15-797,2
15-827,2
15-866,0
15-927,2
15-1031,1
15-1195,2
15-1112,2
15-1189,1
15-1191,2
15-1194,1
15-1248,2
15-1251,0
15-1256,1
15-1262,0
15-1293,0
15-1363,2
15-1391,2
15-1406,1
15-1504,0
15-5991,2
15-7250,0
15-8049,1
15-8544,0
15-9260,1
16-32,2
16-54,1
16-258,1
16-142,1
16-149,1
16-240,0
16-254,2
16-309,2
16-327,1
16-341,1
16-348,1
16-349,0
16-369,2
16-373,0
16-399,1
16-405,1
16-466,1
16-529,1
16-605,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
